frame_num,visible,x,y
0,1,862,153
1,1,877,157
2,1,896,165
3,1,915,176
4,1,930,187
5,1,948,202
6,1,971,217
7,1,993,236
8,1,1012,266
9,1,1038,285
10,1,1065,315
11,1,1095,352
12,1,1125,390
13,1,1155,427
14,0,0,0
15,1,1226,528
16,1,1278,296
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,1278,296
33,0,0,0
34,1,1417,405
35,0,0,0
36,1,1541,255
37,1,1327,307
38,1,1297,281
39,1,1278,262
40,1,1252,243
41,1,1233,228
42,1,1215,213
43,1,1196,210
44,1,1181,198
45,1,1166,191
46,1,1155,187
47,1,1140,183
48,1,1132,180
49,1,1121,180
50,1,1110,180
51,1,1098,183
52,1,1095,187
53,1,1087,191
54,1,1076,195
55,1,1068,198
56,0,0,0
57,1,1053,210
58,1,1050,217
59,1,1042,228
60,1,1038,232
61,1,1035,243
62,0,0,0
63,1,1027,240
64,1,1027,225
65,1,1027,217
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,1,1057,78
78,1,1072,176
79,1,1083,180
80,1,1095,187
81,1,1110,195
82,1,1121,202
83,1,1136,217
84,1,1155,228
85,1,1170,247
86,1,1185,262
87,1,1200,285
88,1,1222,311
89,1,1237,341
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,1,1260,296
95,1,1260,273
96,1,1252,247
97,1,1245,225
98,1,1241,210
99,1,1237,195
100,1,1230,183
101,1,1230,172
102,1,1222,161
103,1,1218,157
104,1,1215,150
105,1,1207,146
106,1,1203,142
107,1,1200,142
108,1,1196,142
109,1,1192,142
110,1,1188,142
111,1,1185,150
112,1,1181,153
113,1,1177,157
114,1,1173,165
115,1,1170,172
116,1,1170,180
117,1,1166,191
118,1,1162,202
119,1,1158,206
120,1,1155,221
121,1,1151,232
122,1,1147,243
123,1,1147,243
124,1,1147,232
125,1,1147,221
126,1,1143,210
127,1,1147,198
128,1,1143,195
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,1,1061,146
138,1,1050,142
139,1,1035,138
140,1,1020,135
141,1,1005,135
142,1,990,135
143,1,971,138
144,1,956,138
145,1,937,142
146,1,915,146
147,0,0,0
148,0,0,0
149,0,0,0
